"serial_no","province","district","agro_eco_r","climatic_z","agro_eco_z","terrain","major_soil","anual_r_fmm","gps_location","x","y","season","rice_variety","date_of_maturity","age_das","stage_of_maturity","prediction_on_suseptibility_of_rice_variety","soil_type","rice_ecosystem","irrigation","topography","flooded_y_n","method_of_planting","is_the_farmer_aware_of_mg_before","terrain_adj","infection_status","total_gall_count","infected_plant_count","total_plants","Disease_Incidence","Disease_Severity"
26,"Southern","Hambantota","DL5","DRY ZONE","LOW COUNTRY","Undulating & flat","RBE with high ammount od grawel in sub- soil, LHG & Solodized - solonets soils",650,"6.1415522, 81.0005065",81.0005065,6.1415522,"Maha","At 362","110",60,"Reproductive","Suseptible","Sand mixed clay","Irrigated","Major irrigation","Gentle slope","No","Direct seeded","Yes","Undulating & flat","Yes",230,28,30,93.3333333333333,7.66666666666667
27,"Southern","Hambantota","DL5","DRY ZONE","LOW COUNTRY","Undulating & flat","RBE with high ammount od grawel in sub- soil, LHG & Solodized - solonets soils",650,"6.1415302, 80.9995623",80.9995623,6.1415302,"Maha","At 362","110",60,"Reproductive","Suseptible","Sand mixed clay","Irrigated","Major irrigation","Gentle slope","No","Direct seeded","Yes","Undulating & flat","Yes",1424,30,30,100,47.4666666666667
28,"Sabaragamuwa","Ratnapura","DL1b","DRY ZONE","LOW COUNTRY","Undulating","Reddish Brown Earth & Low Humic Gley Soils",900,"6.2401358, 80.9181362",80.9181362,6.2401358,"Maha","At 362","110",60,"Reproductive","Suseptible","Sand mixed clay","Irrigated","Minor irrigation","Gentle slope","No","Direct seeded","Yes","Undulating","Yes",86,14,30,46.6666666666667,2.86666666666667
29,"Sabaragamuwa","Ratnapura","DL1b","DRY ZONE","LOW COUNTRY","Undulating","Reddish Brown Earth & Low Humic Gley Soils",900,"6.2498348, 80.9160316",80.9160316,6.2498348,"Maha","At 362","110",60,"Reproductive","Suseptible","Sand mixed clay","Irrigated","Major irrigation","Terraces","No","Direct seeded","No","Undulating","Yes",393,30,30,100,13.1
30,"Sabaragamuwa","Ratnapura","DL1b","DRY ZONE","LOW COUNTRY","Undulating","Reddish Brown Earth & Low Humic Gley Soils",900,"6.2818567, 80.8988923",80.8988923,6.2818567,"Maha","At 362","110",75,"Reproductive","Suseptible","Sand mixed clay","Irrigated","Major irrigation","Gentle slope","No","Direct seeded","Yes","Undulating","No",0,0,30,0,0
31,"Western","Kalutara","WL1b","WET ZONE","LOW COUNTRY","Rolling & Undulating","Red Yellow Podzolic & Low Humic Gley Soils",2800,"6.5993122, 80.0290318",80.0290318,6.5993122,"Maha","Bg 366","100",60,"Reproductive","Suseptible","Clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","Yes","Rolling & Undulating","No",48,14,30,46.6666666666667,1.6
32,"Western","Kalutara","WL1b","WET ZONE","LOW COUNTRY","Rolling & Undulating","Red Yellow Podzolic & Low Humic Gley Soils",2800,"6.5983134, 80.0269464",80.0269464,6.5983134,"Maha","Bg 358","105",75,"Reproductive","Unconfirmed","Sand mixed clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","No","Rolling & Undulating","Yes",24,11,30,36.6666666666667,0.8
32.1,"Central","Kandy","WM3b","WET ZONE","MID COUNTRY","Hilly, Rolling,undulating & steep","Reddish Brown Latosolic, Immature Brown Loam, Low Humic Gley soils",1400,"7.3344432, 80.5776951",80.5776951,7.3344432,"Yala/Maha","Suwadel","105",60,"Reproductive","Unconfirmed","Clay","Rainfed Midland","Rainfed","Gentle slope","Yes","Replanting","No","Other","No",0,0,30,0,0
33,"Western","Kalutara","WL1b","WET ZONE","LOW COUNTRY","Rolling & Undulating","Red Yellow Podzolic & Low Humic Gley Soils",2800,"6.5737786, 80.0198111",80.0198111,6.5737786,"Maha","Bw 367","105",70,"Reproductive","Unconfirmed","Clay","Rainfed lowland","Rainfed","Flat land","No","Direct seeded","Yes","Rolling & Undulating","Yes",54,19,30,63.3333333333333,1.8
34,"Western","Kalutara","WL1b","WET ZONE","LOW COUNTRY","Rolling & Undulating","Red Yellow Podzolic & Low Humic Gley Soils",2800,"6.5073746, 80.0612006",80.0612006,6.5073746,"Maha","Ld 368","102",92,"Reproductive","Unconfirmed","Clay","Rainfed lowland","Rainfed","Flat land","No","Direct seeded",NA,"Rolling & Undulating","Yes",1,1,30,3.33333333333333,0.0333333333333333
