"serial_no","province","district","agro_eco_r","climatic_z","agro_eco_z","terrain","major_soil","anual_r_fmm","gps_location","x","y","season","rice_variety","date_of_maturity","age_das","stage_of_maturity","prediction_on_suseptibility_of_rice_variety","soil_type","rice_ecosystem","irrigation","topography","flooded_y_n","method_of_planting","is_the_farmer_aware_of_mg_before","rep_no","gall_count","terrain_adj","infection_status"
1,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0186066, 80.5020940",80.502094,6.0186066,"Maha","At 362","110",60,"Reproductive","Suseptible","Sand mixed clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","Yes",3,0,"Rolling, Undulating, Flat","No"
1,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0186066, 80.5020940",80.502094,6.0186066,"Maha","At 362","110",60,"Reproductive","Suseptible","Sand mixed clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","Yes",4,0,"Rolling, Undulating, Flat","No"
1,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0186066, 80.5020940",80.502094,6.0186066,"Maha","At 362","110",60,"Reproductive","Suseptible","Sand mixed clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","Yes",5,0,"Rolling, Undulating, Flat","No"
1,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0186066, 80.5020940",80.502094,6.0186066,"Maha","At 362","110",60,"Reproductive","Suseptible","Sand mixed clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","Yes",6,0,"Rolling, Undulating, Flat","No"
1,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0186066, 80.5020940",80.502094,6.0186066,"Maha","At 362","110",60,"Reproductive","Suseptible","Sand mixed clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","Yes",7,0,"Rolling, Undulating, Flat","No"
1,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0186066, 80.5020940",80.502094,6.0186066,"Maha","At 362","110",60,"Reproductive","Suseptible","Sand mixed clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","Yes",8,0,"Rolling, Undulating, Flat","No"
1,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0186066, 80.5020940",80.502094,6.0186066,"Maha","At 362","110",60,"Reproductive","Suseptible","Sand mixed clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","Yes",9,0,"Rolling, Undulating, Flat","No"
1,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0186066, 80.5020940",80.502094,6.0186066,"Maha","At 362","110",60,"Reproductive","Suseptible","Sand mixed clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","Yes",10,5,"Rolling, Undulating, Flat","Yes"
1,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0186066, 80.5020940",80.502094,6.0186066,"Maha","At 362","110",60,"Reproductive","Suseptible","Sand mixed clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","Yes",11,2,"Rolling, Undulating, Flat","Yes"
1,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0186066, 80.5020940",80.502094,6.0186066,"Maha","At 362","110",60,"Reproductive","Suseptible","Sand mixed clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","Yes",12,0,"Rolling, Undulating, Flat","No"
1,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0186066, 80.5020940",80.502094,6.0186066,"Maha","At 362","110",60,"Reproductive","Suseptible","Sand mixed clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","Yes",13,1,"Rolling, Undulating, Flat","Yes"
1,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0186066, 80.5020940",80.502094,6.0186066,"Maha","At 362","110",60,"Reproductive","Suseptible","Sand mixed clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","Yes",14,0,"Rolling, Undulating, Flat","No"
1,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0186066, 80.5020940",80.502094,6.0186066,"Maha","At 362","110",60,"Reproductive","Suseptible","Sand mixed clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","Yes",15,1,"Rolling, Undulating, Flat","Yes"
1,"Southern","Matara","IL1a","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0186066, 80.5020940",80.502094,6.0186066,"Maha","At 362","110",60,"Reproductive","Suseptible","Sand mixed clay","Rainfed lowland","Rainfed","Flat land","Yes","Direct seeded","Yes",16,125,"Rolling, Undulating, Flat","Yes"
